organization_id,company_name,hq_location,employee_count,engineering_count,last_funding_round,last_funding_date,tech_stack_microservices,industry,domain
ORG-0052,AeroData,Toulouse, FR,330,145,Series C,2023-07-20,true,Aerospace,aerodata.fr
ORG-0053,ChainLinker,San Francisco, CA,95,52,Series B,2024-03-12,true,Web3,chainlinker.io
ORG-0054,LogicGate,Chicago, IL,410,155,Series D,2023-09-05,true,GRC,logicgate.com
ORG-0055,FrontierAI,Seattle, WA,125,65,Series B,2024-05-05,true,AI/ML,frontier.ai
ORG-0056,MedConnect,Boston, MA,360,135,Series C,2023-12-18,true,HealthTech,medconnect.com
ORG-0057,VividVideo,Los Angeles, CA,280,120,Series C,2023-08-30,true,Entertainment,vivid.io
ORG-0058,SafePass,Stockholm, SE,150,75,Series B,2024-02-22,true,Identity,safepass.se
ORG-0059,GridLock,London, UK,430,185,Series D,2023-11-01,true,Cybersecurity,gridlock.co.uk
ORG-0060,BioWave,San Diego, CA,110,45,Series B,2024-04-10,true,Biotech,biowave.com
ORG-0061,ScaleOps,San Mateo, CA,240,130,Series B,2023-10-15,true,Infra,scaleops.io
ORG-0062,NetGuard,Helsinki, FI,190,95,Series B,2024-01-20,true,Security,netguard.fi
ORG-0063,PrimeRetail,New York, NY,550,190,Series E,2023-06-25,true,Retail,primeretail.com
ORG-0064,DataSphere,Denver, CO,165,85,Series B,2024-03-08,true,Data,datasphere.io
ORG-0065,SwiftPay,Dublin, IE,320,140,Series C,2023-09-18,true,FinTech,swiftpay.ie
ORG-0066,NeoBank,Berlin, DE,490,215,Series D,2023-12-08,true,FinTech,neobank.de
ORG-0067,CloudHarbor,Seattle, WA,140,75,Series B,2024-05-12,true,Cloud,cloudharbor.io
ORG-0068,EduStream,Austin, TX,270,110,Series C,2023-07-28,true,EdTech,edustream.com
ORG-0069,AutoPath,Detroit, MI,205,95,Series B,2024-02-14,true,Automotive,autopath.ai
ORG-0070,TrustLayer,San Francisco, CA,390,165,Series D,2023-10-22,true,Security,trustlayer.io
ORG-0071,FlexLogistics,Hamburg, DE,155,70,Series B,2024-04-02,true,Logistics,flexlog.de
ORG-0072,Quantify,London, UK,300,135,Series C,2023-11-10,true,Analytics,quantify.ai
ORG-0073,LifeLog,Boston, MA,120,55,Series B,2024-01-30,true,Health,lifelog.com
ORG-0074,CyberShield,Washington, DC,470,210,Series D,2023-08-05,true,Security,cybershield.gov
ORG-0075,MarketFlow,New York, NY,250,105,Series C,2023-12-28,true,Marketing,marketflow.io
ORG-0076,DevOpsly,San Jose, CA,185,100,Series B,2024-03-15,true,DevTools,devopsly.com
ORG-0077,GreenTech,Oslo, NO,135,60,Series B,2024-05-20,true,CleanTech,greentech.no
ORG-0078,FinStream,Chicago, IL,410,160,Series D,2023-09-15,true,FinTech,finstream.com
ORG-0079,SecureRoute,Paris, FR,220,110,Series B,2023-11-08,true,Security,secureroute.fr
ORG-0080,DataPulse,San Francisco, CA,530,225,Series E,2023-07-01,true,Data,datapulse.io
ORG-0081,SmartCity IT,Vienna, AT,145,70,Series B,2024-02-25,true,SmartCity,smartcity.at
ORG-0082,LogiCore,Atlanta, GA,315,125,Series C,2023-10-30,true,Logistics,logicore.com
ORG-0083,BioTech AI,Cambridge, UK,175,90,Series B,2024-04-15,true,Biotech,biotechai.co.uk
ORG-0084,CloudForge,Salt Lake City, UT,380,155,Series D,2023-08-22,true,Cloud,cloudforge.io
ORG-0085,RetailPulse,New York, NY,260,115,Series C,2023-12-05,true,Retail,retailpulse.io
ORG-0086,
